id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos
57574396,2T4 4T34 (01/02/2016 - 18/06/2016),54251,5754591.0,,GRADUAÇÃO,2016,1,False,False,False,True,False,False,False,False,False,52,20
57567756,4T23456 (03/08/2015 - 28/08/2015),58365,5757049.0,,GRADUAÇÃO,2015,2,False,False,True,True,True,False,False,False,False,18,8
1222072,2M34,54244,5751842.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,False,True,False,False,36,46
1223805,6M1,39181,26242.0,,STRICTO SENSU,2014,1,False,False,False,False,False,False,False,True,False,15,1
1231241,2T123,2045632,5756923,,GRADUAÇÃO,2014,2,False,False,False,True,True,False,False,False,False,51,10
1236761,3T456,18831,23014,,TÉCNICO,2014,2,False,False,True,True,False,False,False,False,False,54,1
1237441,7M1,55256,5752698,,STRICTO SENSU,2014,2,False,False,False,False,False,False,False,True,True,19,1
57567413,24N1234,43339,5752022.0,,GRADUAÇÃO,2015,2,True,True,False,False,False,False,False,False,False,144,26
1239335,24M12 (02/02/2015 - 20/06/2015),54286,5753102.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,False,True,False,76,4
57566958,5M2345,23849,5756312.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,True,True,True,False,76,36
57594380,35M56,23219,24352.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,False,False,False,66,33
1225584,24M345 (14/04/2014 - 05/06/2014),52523,19096.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,True,True,False,False,45,4
57577632,24M12,24882,5758203.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,False,True,False,74,29
57562991,35N12,2048901,5753637.0,,GRADUAÇÃO,2015,2,False,True,False,False,False,False,False,False,False,84,9
57583893,23456M2345 (25/07/2016 - 10/12/2016),61127,5753637.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,368,27
57584548,6N123 (25/07/2016 - 17/12/2016),41407,19097.0,,GRADUAÇÃO,2016,2,True,True,False,False,False,False,False,False,False,57,13
57574188,4N1234 (01/02/2016 - 18/06/2016),46231,5757393.0,,GRADUAÇÃO,2016,1,True,True,False,False,False,False,False,False,False,76,26
1241402,24N12,25687,23205.0,,GRADUAÇÃO,2015,1,False,True,False,False,False,False,False,False,False,74,16
57580226,35T34,25047,5757942.0,,GRADUAÇÃO,2016,1,False,False,False,True,False,False,False,False,False,66,27
57598551,23456M123456  23456T123456 (15/05/2017 - 30/06/2017),54741,23128.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,408,3
57596008,24M23456  4T1234 (13/03/2017 - 15/03/2017),60825,5758869.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,15,4
57566244,3N123,25562,5757043.0,,GRADUAÇÃO,2015,2,True,True,False,False,False,False,False,False,False,57,15
1236855,"24M345 (28/07/2014 - 12/09/2014), 24M345 7M12345  7T123456  2N124 3456N1234 (15/09/2014 - 20/09/2014), 24M345 (22/09/2014 - 26/09/2014)",52526,5753770,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,False,False,84,3
57580600,24M56,57772,3560906.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,True,False,False,False,66,19
